"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"Meaningful Multi-Stakeholder Participation via Social Media in Coastal Fishing Village Spatial Planning and Governance","https://www.mdpi.com/2073-4441/17/11/1703","2025","Journal Article","Water","Jing Wang
Shu-Chen Tsai","10.3390/w17111703","","No","1","otK4ylmsM18J","","","","","","","","","Google Scholar","- **Relevance Score:** 37/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses social media to engage fishing‑village stakeholders, directly addressing participation and equity; includes fisheries sector. Touches on governance structures but lacks explicit labor hierarchy analysis.",""
"Putting coastal communities at the center of a sustainable blue economy: A review of risks, opportunities, and strategies","https://scispace.com/papers/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db","2023","Journal Article","Frontiers in political science","Louisa Evans
P.M. Buchan
Matt Fortnam
M B Honig
Louise Heaps","10.3389/fpos.2022.1032204","https://scispace.com/pdf/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 35/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses community‑centered review to foreground equity and participation, touches on legitimacy of institutions, but lacks explicit labor stratification analysis and detailed sector focus.","New approaches to ocean governance for coastal communities are needed. With few exceptions, the status quo does not meet the diverse development aspirations of coastal communities or ensure healthy oceans for current and future generations. The blue economy is expected to grow to USD2.5–3 trillion by 2030, and there is particular interest in its potential to alleviate poverty in Least Developed Countries and Small Island Developing States, and to support a blue recovery from the COVID-19 pandemic. This paper presents a selective, thematic review of the blue economy literature to examine: (i) the opportunities and risks for coastal communities, (ii) the barriers and enablers that shape community engagement, and (iii) the strategies employed by communities and supporting organizations, which can be strengthened to deliver a ‘sustainable' blue economy and improve social justice for coastal communities. Our review finds that under business-as-usual and blue growth, industrial fisheries, large-scale aquaculture, land reclamation, mining, and oil and gas raise red flags for communities and marine ecosystems. Whereas, if managed sustainably, small-scale fisheries, coastal aquaculture, seaweed farming and eco-tourism are the most likely to deliver benefits to communities. Yet, these are also the sectors most vulnerable to negative and cumulative impacts from other sectors. Based on our evaluation of enablers, barriers and strategies, the paper argues that putting coastal communities at the center of a clear vision for an inclusive Sustainable Blue Economy and co-developing a shared and accessible language for communities, practitioners and policy-makers is essential for a more equitable ocean economy, alongside mainstreaming social justice principles and integrated governance that can bridge different scales of action and opportunity."
"An inequity assessment framework for planning coastal and marine conservation and development interventions","https://scispace.com/papers/an-inequity-assessment-framework-for-planning-coastal-and-3ddwkx0m3n","2023","Journal Article","Frontiers in Marine Science","Gerald G. Singh
Justine Keefer
Yoshitaka Ota","10.3389/fmars.2023.1256500","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 35/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses equity‑assessment framework to foreground fairness and community participation; touches on institutional contexts and marine protected areas but lacks direct labor stratification analysis.","Sustainable development should promote equity with benefits for coastal communities. Many conservation and development initiatives promise to contribute to an equitable future without being designed to do so. Here, we promote an assessment tool to help interventions plan to promote equity through forecasting and evaluating the risks of contributing to inequities, in order to plan against them. Building from rich literatures of impact assessment, procedural justice, postcolonial studies, critical race theory, and fields in sociology studying the accrual of advantage and disadvantage among different groups, we propose the assessment framework follow key principles that center on understanding how interventions affect marginalized people, and assess how planning, implementation, and outcome decisions build on each other and reflect (or work against) broader systemic contextual pressures that perpetuate inequities. In forecasting and monitoring potential inequities, coastal communities and proponents of interventions should be able to plan against the realization of these adverse impacts. We show how the framework can be used in three case studies: 1) a climate adaptation project; 2) marine protected areas; 3) a debt relief program. Sustainable development is about promoting equity, but only with methods employed to confront and understand inequitable consequences can interventions do so."
"Enhancing the Sustainability of Blue Economy Projects in Kenya's Coastal Region: The Role of Strategic Grassroots Community Participation in Community-Based …","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5070877","","","","M Otundo Richard","","","No","","KQmlbIrUgeAJ","","","","","","","","","Google Scholar","- **Relevance Score:** 35/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses grassroots participation to improve project sustainability; touches on governance legitimacy and mentions coastal sectors like tourism/fisheries, but lacks explicit labor stratification analysis.",""
"Strengthening Blue Economy Policy to Achieve Sustainable Fisheries","https://scispace.com/papers/strengthening-blue-economy-policy-to-achieve-sustainable-4ge3w3nert","2024","Journal Article","Journal of Sustainable Development and Regulatory Issues","Sapriani Sapriani
Reza Octavia Kusumaningtyas
Khalid Eltayeb Elfaki","10.53955/jsderi.v2i1.23","https://scispace.com/pdf/strengthening-blue-economy-policy-to-achieve-sustainable-4ge3w3nert.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 35/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses fisheries policy analysis to illustrate blue‑economy sector; discusses government and navy roles, fairness guidelines, and stakeholder co‑production, but lacks explicit labor stratification analysis.","Particularly in developing nations, the aquaculture and fisheries sector is vital to the nutrition and food security of the global population. Nevertheless, notwithstanding their substantial social and economic potential, fishery resources are susceptible to overexploitation and hurting the environment. This research assesses the significance of bolstering blue economy policies to enhance sustainable maritime policies. This study employs the methodology of normative legal research. The research findings, the deterioration of ecological equilibrium, as evidenced by the diminishing carrying capacity of the sea, can be attributed to conservation efforts that lack a stronger emphasis on sustainable management. Maintaining the fundamental tenets of equitable and sustainable fisheries management in nations endowed with oceans is paramount. State and government policies toward society and distributive equity are inextricably linked in managing fisheries resources; local governments may be entrusted with autonomous design and assistance responsibilities for these policies. As a result, a revised vision for constructing a sustainable, equitable, and ambitious blue economy is proposed. Promoting resource-based economic development in the marine and fisheries industrial sector while preserving coastal environments and marine resources through the blue economy concept is possible. This vision is founded upon the following five governance principles: inclusive and equitable processes, climate stability, sustainable consumption and production, circular processes, and the promotion of healthy ecosystems."
"Development of sustainable ports through the Blue Economy and the use of emerging technology tool","https://scispace.com/papers/development-of-sustainable-ports-through-the-blue-economy-guwzbti8shov","2025","Journal Article","","Javier Vaca-Cabrero","10.20868/upm.thesis.89961","https://scispace.com/pdf/development-of-sustainable-ports-through-the-blue-economy-guwzbti8shov.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 35/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses port‑sector analysis to map implementation gaps, highlighting equity issues and resource allocation; lacks direct labor hierarchy focus, offers limited power legitimacy insight, and touches on social‑justice concerns without worker participation.","This doctoral thesis examines port sustainability through the integration of the principles of the Blue Economy and emerging technologies, focusing on Spanish ports as strategic nodes in the global logistics chain and as drivers of economic, social, and environmental development. In a context characterized by challenges such as climate change, energy transition, and the need for logistical efficiency, ports play a crucial role in implementing disruptive solutions that foster sustainable development. The general objective of this research is to analyse the implementation and advancement of port sustainability through the Blue Economy and emerging technologies in Spanish ports. Specifically, the thesis focuses on examining the degree of implementation of established and emerging sectors of the Blue Economy, such as maritime transport and marine renewable energies, as well as exploring the impact of disruptive technologies, including digital universes and digitalization tools, in improving informed decision-making in Spanish ports from a comprehensive perspective. The adopted methodology combines a mixed qualitative and quantitative approach, integrating tools such as the Delphi method, affinity diagrams, and Bayesian networks. These techniques capture both the objective and subjective dimensions of the phenomenon under study, enabling a comprehensive analysis of the economic, social, and environmental dynamics in ports. The main findings of the research reveal significant disparities in the implementation of Blue Economy sectors among the 28 Port Authorities in Spain. Established sectors exhibit higher levels of development compared to emerging sectors, which still face barriers related to insufficient investment and technological interoperability. Furthermore, while port digitalization shows notable progress, it also presents significant challenges in terms of standardization, cybersecurity, and collaborative governance. Regarding practical applications, the research demonstrates how tools such as digital twins and the metaverse can optimize logistical processes, improve strategic planning, and strengthen environmental sustainability. Additionally, the analysis based on Bayesian networks highlights the importance of key indicators, such as environmental investments, to prioritize strategies that maximize positive impacts on sustainability and development. In conclusion, this thesis emphasizes that the integration of Blue Economy principles and emerging technologies not only contributes to achieving the Sustainable Development Goals but also positions the Spanish port system as a global benchmark for sustainability. The research recommends the implementation of collaborative strategies among port authorities, the private sector, and local communities, fostering a sustainable economic model. Moreover, it underscores the importance of strengthening digital governance and adopting international standards to ensure interoperability and transparency in port operations. Ultimately, this thesis provides an integral and replicable methodological framework that can be applied to other international contexts, contributing to the development of more sustainable, resilient, and competitive ports within the framework of the 21st-century global economy. The combination of sustainability and emerging technologies represents a unique opportunity to transform the port system into a strategic pillar for sustainable development and energy transition. RESUMEN La presente tesis doctoral analiza la sostenibilidad portuaria desde la perspectiva de la integración de los principios de la Economía Azul y las tecnologías emergentes, centrándose en los puertos españoles como nodos estratégicos en la cadena logística global y motores de desarrollo económico, social y ambiental. En un contexto caracterizado por desafíos como el cambio climático, la transición energética y la necesidad de eficiencia logística, los puertos desempeñan un papel clave en la implementación de soluciones disruptivas que fomenten un desarrollo sostenible. El objetivo general de la investigación es analizar la implantación y desarrollo de la sostenibilidad portuaria a través de la Economía Azul y las tecnologías emergentes en los puertos españoles. En particular, la tesis se centra en analizar el grado de implementación de sectores establecidos y emergentes de la Economía Azul, como el transporte marítimo o las energías renovables marinas, así como en explorar el impacto de tecnologías disruptivas, como los universos digitales y herramientas de digitalización, en la mejora de la toma de decisiones informada de los puertos españoles desde un enfoque integral. La metodología adoptada combina un enfoque mixto cualitativo y cuantitativo, integrando herramientas como el método Delphi, los diagramas de afinidad y las redes bayesianas. Estas técnicas permiten captar tanto las dimensiones objetivas como las subjetivas del fenómeno estudiado, facilitando un análisis integral de las dinámicas económicas, sociales y ambientales en los puertos. Los principales hallazgos de la investigación revelan disparidades significativas en la implementación de los sectores de la Economía Azul entre las 28 Autoridades Portuarias de España. Los sectores establecidos presentan un mayor desarrollo en comparación con los sectores emergentes, estos aún enfrentan barreras relacionadas con la falta de inversión o la interoperabilidad tecnológica. Asimismo, la digitalización portuaria, aunque muestra avances notables, evidencia retos importantes en términos de estandarización, ciberseguridad y gobernanza colaborativa. En cuanto a las aplicaciones prácticas, la investigación demuestra cómo herramientas como los gemelos digitales y el metaverso pueden optimizar procesos logísticos, mejorar la planificación estratégica y fortalecer la sostenibilidad ambiental. Asimismo, el análisis basado en redes bayesianas destaca la relevancia de indicadores clave, como las inversiones medioambientales, para priorizar estrategias que maximicen el impacto positivo en términos de sostenibilidad y desarrollo. En conclusión, esta tesis subraya que la integración de los principios de la Economía Azul y las tecnologías emergentes no solo contribuye al cumplimiento de los Objetivos de Desarrollo Sostenible, sino que también posiciona al sistema portuario español como un referente global en sostenibilidad. La investigación recomienda la implementación de estrategias colaborativas entre autoridades portuarias, sector privado y comunidades locales, promoviendo un modelo económico sostenible. Además, se resalta la importancia de fortalecer la gobernanza digital y la adopción de estándares internacionales para garantizar la interoperabilidad y la transparencia en las operaciones portuarias. En definitiva, esta tesis ofrece un marco metodológico integral y replicable que puede ser aplicado a otros contextos internacionales, contribuyendo al desarrollo de puertos más sostenibles, resilientes y competitivos en el marco de la economía global del siglo XXI. La combinación de sostenibilidad y tecnologías emergentes representa una oportunidad única para transformar el sistema portuario en un pilar estratégico del desarrollo sostenible y la transición energética."
"A Blue Economy: equitable, sustainable, and viable development in the world’s oceans","https://scispace.com/papers/a-blue-economy-equitable-sustainable-and-viable-development-2v863w9fz0","2019","Book Chapter","","Andrés M. Cisneros-Montemayor","10.1016/B978-0-12-817945-1.00034-4","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 35/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Emphasizes equity and transformative goals, mentions institutional shifts and broad industry contexts, but lacks detailed labor hierarchy analysis and sector‑specific case detail.","The concept of the Blue Economy is increasingly in use but under different, sometimes contradictory, definitions. This chapter argues for a Blue Economy as a framework for ocean and coastal development that explicitly focuses on social equity concerns in addition to environmental sustainability and economic viability. Many marine industries are already well-established across the world, so a Blue Economy entails deep transformations of large sectors as well as innovation and planning for emerging ones. The Blue Economy approach should not be seen as a slight improvement on business-as-usual but as an opportunity for a fundamental shift towards ambitious social and environmental goals."
"Taking institutions seriously: using the IAD framework to analyze fisheries policy","https://www.tandfonline.com/doi/abs/10.1080/08941920590947922","2005","Journal Article","Society & Natural Resources","Mark T. Imperial
Tracy Yandle","10.1080/08941920590947922","https://www.academia.edu/download/39346597/S_NR-July2005.pdf","Yes","238","NJR2u944b2AJ","","","","","","","","","SciSpace","- **Relevance Score:** 35/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses IAD framework to dissect fisheries institutions, highlighting bureaucratic, market, community, and co‑management arrangements; touches on power dynamics and stakeholder participation, but lacks direct labor stratification analysis. Covers fisheries sector explicitly.","We argue that the fisheries management literature often does a poor job of analyzing issues related to institutional design and performance. The article begins by examining four competing institutional arrangements used to manage fisheries: bureaucracy, markets, community, and comanagement. The differences are used to highlight the importance of understanding critical issues related to institutional analysis. The article then examines some of the common problems or pitfalls that analysts fall victim to when examining institutional design and performance. We conclude by summarizing the Institutional Analysis and Development (IAD) framework, one approach to institutional analysis that avoids these common pitfalls."
"Navigating a just and inclusive path towards sustainable oceans","https://scispace.com/papers/navigating-a-just-and-inclusive-path-towards-sustainable-28t8ccx8mb","2018","Journal Article","Marine Policy","Nathan J. Bennett
Nathan J. Bennett
Nathan J. Bennett","10.1016/J.MARPOL.2018.06.001","","Yes","181","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 35/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Focuses on justice, inclusion, and stakeholder engagement in fisheries and marine conservation; lacks explicit analysis of labor hierarchies, offers limited discussion of institutional power, and touches on sector coverage.",""
"Blue Economy: Framework for Integrating Economic Growth with Marine Ecosystem","https://scispace.com/papers/blue-economy-framework-for-integrating-economic-growth-with-7zr2jm3isb2m","2025","Journal Article","International journal of marine engineering innovation and research","Rajat Kumar Sahu
Raviteja Doppalapudi","10.12962/j25481479.v10i1.4758","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses broad sector overview (fisheries, tourism, offshore energy) to illustrate blue‑economy potential; discusses governance and equity but lacks explicit labor stratification analysis.","The Blue Economy is an economic framework that integrates economic growth with marine ecosystem sustainability, acknowledging the oceans as vital to global development. The concept gained prominence at the Rio+20 United Nations Conference on Sustainable Development in 2012, emphasizing the need for a sustainable ocean-based economy that balances economic opportunities with environmental conservation and social equity. It encompasses a wide range of sectors, including fisheries, aquaculture, maritime transport, marine biotechnology, renewable energy, and coastal tourism, all of which play a crucial role in global trade, food security, and employment generation. The objective of this paper is to examine the evolution, components, opportunities, and challenges of the Blue Economy while identifying pathways for its sustainable development. The study follows a qualitative approach by analysing existing literature, global policy frameworks, and case studies to evaluate the effectiveness of different ocean-based economic models. Findings indicate that while the Blue Economy presents immense potential for economic growth and employment, it faces several critical challenges, such as overfishing, habitat destruction, climate change impacts, and governance issues. The exploitation of non-living marine resources, such as deep-sea mining and offshore oil and gas extraction, also raises concerns about long-term ecological sustainability. To overcome these challenges, the paper highlights the importance of strong governance frameworks, investment in marine research and technology, and the development of policies that promote sustainable resource management. The role of marine protected areas, sustainable fishing practices, and advancements in renewable ocean energy is emphasized as key strategies for balancing economic benefits with environmental conservation. The private sector, in collaboration with governments and international organizations, must play a central role in driving sustainable investments and innovations. Ultimately, the Blue Economy has the potential to support long-term economic development while preserving marine biodiversity and improving the livelihoods of coastal communities. By adopting sustainable practices, enforcing regulations, and investing in science and data-driven decision-making, nations can harness ocean resources responsibly. This paper underscores the need for an integrated approach that aligns economic growth with environmental stewardship, ensuring that the benefits of ocean-based industries are equitably shared while safeguarding marine ecosystems for future generations."
"Sustainable blue economy: Opportunities and challenges","https://link.springer.com/article/10.1007/s12038-023-00375-x","2024","","","Sahil Narwal
Manpreet Kaur
Digvijay Singh Yadav
Felix Bast","10.1007/s12038-023-00375-x","https://www.ias.ac.in/article/fulltext/jbsc/049/0018","No","53","CtlBH9ormcwJ","","","","","","","","","Google Scholar","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses broad sustainability framing; mentions shipping sector, but lacks detailed labor hierarchy analysis. Touches on institutional roles and equity concerns without deep focus.",""
"Cooperation and the emergence of maritime clusters in the Atlantic: Analysis and implications of innovation and human capital for blue growth","https://scispace.com/papers/cooperation-and-the-emergence-of-maritime-clusters-in-the-2q3pivnuu5","2015","Journal Article","Marine Policy","Hugo Pinto
Hugo Pinto
Ana Rita Cruz
Colin Combe","10.1016/J.MARPOL.2015.03.029","","Yes","83","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes maritime cluster cooperation across tourism, biotech, and energy; touches on governance constraints and stakeholder involvement, but lacks focus on labor hierarchies or justice.",""
"The Blue Economy in the Arabian Gulf: Trends, Gaps, and Pathways for Sustainable Coastal Development","https://scispace.com/papers/the-blue-economy-in-the-arabian-gulf-trends-gaps-and-eu0knb6dsnoc","2025","Journal Article","","Abdulkarim K. Alhowaish","10.20944/preprints202509.0411.v1","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Maps blue‑economy research clusters, includes fisheries and governance, notes equity gaps, but lacks direct labor stratification analysis and detailed power‑legitimacy discussion.","The Blue Economy has emerged as a critical framework for achieving sustainable economic diversification, environmental stewardship, and social resilience, particularly in regions vulnerable to ecological pressures such as the Gulf Cooperation Council (GCC). Despite its increasing prominence in policy agendas, including Saudi Arabia’s Vision 2030 and the UAE’s Blue Economy Strategy 2031, scholarly research in the GCC remains fragmented and sector-specific. This study provides the first comprehensive bibliometric and thematic review of Blue Economy research in the region, analyzing 210 documents published between 2000 and 2025 and indexed in the Scopus database. Using bibliometric tools (Biblioshiny and VOSviewer), the study applies bibliographic coupling, citation analysis, co-authorship analysis, co-word analysis, co-citation analysis, and country collaboration mapping to uncover the intellectual structure and evolution of the field. The findings reveal four dominant thematic clusters: (i) sustainable fisheries and food security, (ii) marine governance and coastal policy, (iii) climate resilience and ecosystem restoration, and (iv) blue finance and economic diversification. While these clusters align with global Blue Economy priorities, significant gaps persist in research on social equity, gender inclusion, traditional ecological knowledge, and localized economic valuation methods. Country-level analysis highlights Saudi Arabia, Oman, and the UAE as leading contributors, though international collaborations with the UK, USA, and Australia remain dominant in terms of visibility and citations. This review contributes to both scholarship and policy by mapping the trajectory of Blue Economy research in the GCC and by proposing a conceptual framework that emphasizes inclusive governance, nature-based solutions, and innovative financing mechanisms as pillars for future research and practice."
"Politics and power in marine spatial planning","https://library.oapen.org/bitstream/handle/20.500.12657/22921/1/1007240.pdf#page=227","2019","Book Chapter","","Wesley Flannery
Jane Clarke
Benedict McAteer","10.1007/978-3-319-98696-8_9","https://library.oapen.org/bitstream/handle/20.500.12657/22921/1/1007240.pdf#page=227","Yes","111","ZmFLWTwGcnYJ","","","","","","","","","SciSpace","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes institutional power and elite legitimacy in MSP; mentions citizen science for democratic participation, but lacks labor stratification focus and sector-specific discussion.","Marine spatial planning (MSP) has been lauded as a remedy to unsuitable marine management. There is, however, growing MSP research illustrating that it is failing to foster paradigm shifts towards sustainable governance. The gap between MSP theory and practice is due to its asocial and apolitical implementation. This narrow version of MSP has been advanced through post-political planning and uncritical rationalities. The result is a choreographed form of MSP, with clearly defined outcomes that serve the needs of elite actors rather than the public interest. This chapter argues that to recapture its democratising potential, MSP requires explicit engagement with politics and power. We highlight the use of the boundary object lens and citizen science as two potential avenues to facilitate this engagement."
"Enacting the blue economy in the Western Indian Ocean: A ‘collaborative blue economy governmentality’","https://scispace.com/papers/enacting-the-blue-economy-in-the-western-indian-ocean-a-4xe3yb65m8","2023","Journal Article","Environment And Planning E: Nature And Space","Alex Midlen","10.1177/25148486231198010","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes state and multilateral power shaping a collaborative blue‑economy governmentality, notes community resistance and equity concerns, but lacks labor hierarchy detail and sector‑specific discussion.","The blue economy represents a new development paradigm, being promoted through multilateral institutions. I examine its emerging nature in the context of the Western Indian Ocean region of Africa. I situate the blue economy within the global sustainable development discourse and argue that it represents a form of global governmentality. I note its utopian nature and argue that discourses of utopian thought and risk act to ‘responsibilise’ States to collaborate in regional sea management in pursuit of human and environmental security goals – which I call a ‘collaborative blue economy governmentality’. I draw attention to multiple sites of resistance (‘counter conducts’) to this governmentality. These counter conducts are diverse, encompassing community resistance to development priorities, insufficient technical capacities and resources, and the material character of ocean and coastal ecosystems. I therefore characterise the blue economy as an immature governmentality, necessitating State and multilateral intervention to put in place or strengthen the governmental capacities needed to enact it. I conclude that the BE governmentality is largely of a neoliberal character, but with hints of an emergent post-neoliberal regime."
"‘Social license to operate’ in the Blue Economy","https://scispace.com/papers/social-license-to-operate-in-the-blue-economy-2jzer4ys9c","2019","Journal Article","Resources Policy","Michelle Voyer
Judith van Leeuwen","10.1016/J.RESOURPOL.2019.02.020","https://ro.uow.edu.au/cgi/viewcontent.cgi?article=4895&context=lhapapers","Yes","111","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes institutional legitimacy and power dynamics in ocean industries; discusses stakeholder engagement and value conflicts, but lacks labor stratification focus and sector‑specific coverage.",""
"Drivers of Blue Economy in Asia and Pacific Island Countries: An Empirical Investigation of Tourism and Fisheries Sectors","https://scispace.com/papers/drivers-of-blue-economy-in-asia-and-pacific-island-countries-2cf3r6qj43","2020","","","Poulomi Bhattacharya
Aruna Kumar Dash","","https://scispace.com/pdf/drivers-of-blue-economy-in-asia-and-pacific-island-countries-2cf3r6qj43.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses tourism and fisheries data to identify growth drivers; mentions stakeholder involvement and governance mechanisms but lacks detailed labor hierarchy, power legitimacy, or equity analysis.","This study examines the determinants of blue economy activities, namely tourism and fisheries, in 21 Asia and Pacific island countries during the period 1996 to 2016. Using a panel data model, it was found that the size of the blue economy positively depends on the gross fixed capital formation and access to electricity in Asia and Pacific island countries. We find that the size of the blue economy has responded positively to sustainable ocean management policies. Hence, our findings support the need for, and effectiveness of, the implementation of sustainable ocean governance policies in the Asia and Pacific island region, which can further strengthen the growth of these island countries."
"The blue economy's retreat from equity: A decade under global negotiation","https://scispace.com/papers/the-blue-economy-s-retreat-from-equity-a-decade-under-global-2gohem1c","2022","Journal Article","Frontiers in political science","Philippa Louey","10.3389/fpos.2022.999571","https://scispace.com/pdf/the-blue-economy-s-retreat-from-equity-a-decade-under-global-2gohem1c.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes power dynamics and equity concerns in Pacific blue‑economy recovery, cites tourism, fisheries, and seabed mining, but lacks direct labor stratification focus.","Heralded as a key agenda for sustainable ocean development, the blue economy has risen to such prominence over the last decade that it is near impossible to engage in the fields of ocean governance or development without encountering it. The exact nature of the blue economy's sustainable ocean development promise, however, remains stubbornly unresolved, with different actors advancing varying, at times conflicting, visions of what sustainable ocean development should look like, how it is to be achieved, and who it is to serve. Tracing the various constructions of blue economy promises over the last decade, this paper contends that the blue economy has progressively retreated from its early commitment to equitable benefit sharing, shifting instead to a deepening preoccupation with economic growth. For small island developing states (SIDS) and coastal least developed countries (LDCs) who took a leading role in embedding equitable benefit sharing within the blue economy during its early popularization, such retreat raises pressing questions over the agenda's continued suitability in advancing desired (and often much needed) sustainable development outcomes. This paper's attempt to grapple with such questions offers a timely contribution to discussions on the blue recovery and ocean-led development avenues in the wake of COVID-19."
"Transforming the governance of small-scale fisheries","https://link.springer.com/article/10.1007/s40152-018-0087-7","2018","Journal Article","Maritime Studies","Ratana Chuenpagdee
Svein Jentoft","10.1007/S40152-018-0087-7","https://www.academia.edu/download/112401798/article.pdf","Yes","130","zYDZbaf7gZUJ","","","","","","","","","SciSpace","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses case‑study synthesis of small‑scale fisheries governance, showing sector inclusion; discusses power dynamics and marginalization but lacks explicit labor stratification analysis.","Despite their contribution to employment, food security, poverty eradication, and community well-being, small-scale fisheries often find themselves in a disadvantageous position globally relative to large-scale fisheries and other industries competing for marine space, resources, and government attention. By and large, small-scale fisheries are marginalized in every sense of the word: culturally, socially, economically, geographically, legally, and politically. Their unfavorable status is frequently perceived to be both a cause and effect of overfishing, unsustainable fishing practices, and governance failure; thus, their potential to modernize while participating in and delivering on sustainable development goals is less than optimal. Given that the majority of the world’s fisheries are small-scale, it is imperative that major changes take place in the conditions that determine the predicament of small-scale fisheries. For these reasons, in 2014, FAO member states endorsed the Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries in the Context of Food Security and Poverty Eradication (SSF Guidelines), with the aim of encouraging states and civil society organizations to take steps to bring about the changes needed to improve the sustainability and viability of small-scale fisheries. The SSF Guidelines call for broad and complex governance interventions; however, as much as they can help create transformation within small-scale fisheries, governance systems themselves must also be transformed before real change can take place. Based on the analysis of 34 case studies of small-scale fisheries’ governance around the world, our synthesis reveals that small-scale fisheries’ governance is indeed undergoing different types of transformation and can take place in all governing modes. Further, these transformations occur at the operational, institutional, and the meta-levels of governance, which, from the perspective of the SSF Guidelines, is encouraging."
"Blind spots in visions of a “blue economy” could undermine the ocean's contribution to eliminating hunger and malnutrition","https://www.cell.com/one-earth/fulltext/S2590-3322(20)30611-4","2021","Journal Article","","Anna K Farmery
Edward H. Allison
Neil L. Andrew
Max Troell
Max Troell
Michelle Voyer
Brooke M Campbell
Hampus Eriksson
Hampus Eriksson
Michael Fabinyi
Andrew M. Song
Dirk J. Steenbergen","10.1016/J.ONEEAR.2020.12.002","https://www.cell.com/one-earth/pdfExtended/S2590-3322(20)30611-4","Yes","186","GixdGppcUDMJ","","","","","","","","","SciSpace","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Highlights equity gaps in blue‑food production and critiques governance assumptions, but lacks direct analysis of labor hierarchies; discusses mariculture/fisheries within blue‑economy context.","Summary Increasing the production of food from the ocean is seen as a pathway toward more sustainable and healthier human diets. Yet this potential is being overshadowed by competing uses of ocean resources in an accelerating “blue economy.” The current emphasis on production growth, rather than equitable distribution of benefits, has created three unexamined or flawed assumptions that growth in the blue economy will lead to growth in “blue food” production, increased production will inevitably lead to improved food and nutrition security, and mariculture production will replace marine capture fisheries. In this perspective, we argue that if research and policies are pursued without addressing these “blind spots,” blue food contributions to reducing hunger and malnutrition, and to meeting the Sustainable Development Goals, will be limited. Taking a broader food-system approach beyond production to also considering food access, affordability, and consumption will refocus the blue food agenda on making production and consumption more equitable and sustainable while increasing access for those who need it most."
