"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Zagrożenia i wyzwania składowymi bezpieczeństwa morskiego w ujęciu securitologicznym","https://scispace.com/paper/zagrozenia-i-wyzwania-skladowymi-bezpieczenstwa-morskiego-w-f7jla5izxnkt","","","","Janusz Świniarski","10.34813/24coll2022","","Inspiracją niniejszego tekstu jest próba zastosowania podejścia eksponowanego przez securitologię do krytycznej analizy stanu badań nad bezpieczeństwem morskim, z zamiarem wskazania „twardego rdzenia” programu tych badań. Jest to podejście osadzone na przeświadczeniu pitagorejczyków, że korzeniami i źródłem pełnej wiedzy jest czwórdzielność, wyrażana w „arcyczwórce” zwanej też tetraktys. Ta czwórdzielność przewija się z różną wyrazistością w dziejach myśli ludzkiej, która poszukuje wyjaśnienia i zrozumienia poznawanych rzeczy. Czwórpodział przejawia się w badaniach securitologicznych i prakseologicznych roz-różnieniem czterech metod sprawiania (czynienia) bezpieczeństwa oraz badaniach bezpieczeństwa jako fraktalnego systemu, w tym głównie czteroelementowego systemu społecznego. O ile system ten w argumentacji securitologii obejmuje socjomasę, socjoenergię i socjostrukturę oraz socjokulturę, to bezpieczeństwo morskie (przez analogię) można analizować jako takie, które złożone jest z takich podstawowych elementów, jak: hydromasa, hydroenergia i hydrostruktura oraz hydrokultura. Pierwszy wyrażany jest przez ilość i jakość ludzi związanych swą aktywnością życiową z morzem, drugi z osiąganymi przez nich efektami ekonomicznymi, trzeci z zorganizowaniem tych ludzi wyrażanym w regulacjach prawnych i czwarty – w preferowanych przez tych ludzi wartościach i motywacjach. Taka analiza zdaje się być atrakcyjną i bardziej zbliżoną do prawdy o bezpieczeństwie morskim jako instrumencie (przedmiocie) bezpieczeństwa morza (podmiotu).","This research applies securitology to critically analyze maritime security, identifying its core components through a fourfold approach, analogous to the tetraktys, comprising hydromasa, hydroenergia, hydrostruktura, and hydrokultura, to provide a more accurate understanding of maritime security."
"Empty oceans – humanizing ocean and seascapes for building transdisciplinary knowledge and practice","https://scispace.com/paper/empty-oceans-humanizing-ocean-and-seascapes-for-building-2ow7r2k3","2022","Book Chapter","","","10.4324/9781003311171-3","","The challenges of the contemporary environmental crisis and climatic emergency need for a radical change in the ways we inhabit this planet. A dialogical, diverse knowledge and multi-scalar integrative perspective is necessary to comprehend and to manage the complex socio-ecological problems of our time. It means deep challenges to our scientific practice and epistemology. We propose to analyse oceans and seas as landscapes that have been built through centuries of humans and humans-environment relations and open the space to power relations, asymmetries, discourses, and representations. This chapter provides theoretical and methodological tools to un-discipline the knowledge of the oceans and seas, territories where discourses and practices from earth and natural sciences predominate. ","In this paper , the authors propose to analyse oceans and seas as landscapes that have been built through centuries of humans and humans-environment relations and open the space to power relations, asymmetries, discourses, and representations."
"Guest Editor","https://scispace.com/paper/guest-editor-1nec9luvw6e0","","","","Ina  Berg","10.2337/diaspect.23.1.10","","“The Entangled Sea” is the theme that ties together all contributions in this volume. It was Louise Hitchcock who suggested this very title for a conference we co-organized in Manchester in the summer of 2018, which followed our “Exploring maritime and riverine mobility” double session at the Australian Archaeological Association Congress held at La Trobe University, Melbourne, in December 2017. Like all good titles, this one beautifully and succinctly encapsulates the intent and thematic focus of this volume, namely, to explore our multifaceted engagement with the Mediterranean Sea, the coastal regions that act as bridges between the sea and the hinterland, and the rivers that flow into it. Despite ranging widely across time, space, and themes, what unites all articles is their appreciation of the entangled nature of this watery place. “The Entangled Sea” is an obvious and intentional reference to Hodder’s book Entangled: An Archaeology of the Relationships between Humans and Things (2012)1 to emphasize the interconnectedness of this sea-world and the many ways in which humans and nonhumans interact with it and each other. The front cover image tries to encapsulate this entangled nature of the sea by catching the eastern Mediterranean within a metaphoric fishing net. Taking inspiration from Hodder’s tanglegrams and social network analysis sociograms, Figure 1 takes this metaphor to its next level and represents the entangled nature of the volume authors’ contributions.2 While each article has a distinct temporal and regional scope, they are joined together through their focus on the sea and the ways in which the sea connects humans, environments, and objects in a multitude of different ways. However, the sea’s influence goes beyond its physicality and its elemental ability to connect people across space and time; it also leaves behind a deep imprint on our emotions and spiritual lives and thus helps shape people’s identities in deeply meaningful ways. While many themes are touched upon in the articles, only the most principal ones are shown in the diagram. They are: seafaring, connectivity, power and status, maritime specialists, symbolism and ritual, new knowledge, experiences and places, emotions, iconography, material transformations, death, and shipwrecks. By focusing on the authors’ names, Figure 1 could be read as a simple depiction of each article’s thematic scope. Alternatively, zooming in on the themes, the reader can quickly discern which articles to read if they wish to explore a particular topic. For me, however, the great strength of this interwoven meshwork goes well beyond what individual contributions have to offer since it is only through their coming together that we can catch a glimpse of the complexity that is the sea. Although the connecting lines (“edges”) are neither weighted for nor are their lengths proportionate to the strength of the connection or an expression of a shared common intellectual framework, the spatial arrangement of the authors and themes nevertheless give a good impression of the author’s thematic approach to the sea and their F R O M T H E G U E S T E D I TO R","This volume, ""The Entangled Sea"", explores multifaceted human engagement with the Mediterranean Sea, coastal regions, and rivers, highlighting interconnectedness and entangled relationships between humans, environments, and objects across time, space, and themes."
"Morska woda, morska wola. Morze w polskim dyskursie kolonialnym","https://scispace.com/paper/morska-woda-morska-wola-morze-w-polskim-dyskursie-3kykvjlh","2023","Journal Article","Przegląd Humanistyczny","Małgorzata Litwinowicz-Droździel","10.31338/2657-599x.ph.2022-2.1","","The text is a brief discussion of the process of “taming” the Baltic Sea in the Polish public discourse of the interwar period. The author recalls the absence of the sea in the imaginary of Polish modernity and follows the turn that took place after regaining independence: in the new Polish state, the short Polish coast tasked with fulfilling many expectations and carrying many meanings. The Polish Baltic Sea was expected to be industrialized and recreational, modern and natural, local and imperial. The text also deals with the topic of Polish colonial plans, which the author interprets primarily as an attempt to “export poverty” and solve social problems through their physical expedition overseas.","In this article , a brief discussion of the process of ""taming"" the Baltic Sea in the Polish public discourse of the interwar period is presented, which the author interprets primarily as an attempt to ""export poverty"" and solve social problems through their physical expedition overseas."
"Fluid geographies: marine territorialisation and the scaling up of local aquatic epistemologies on the Pacific coast of Colombia","https://scispace.com/paper/fluid-geographies-marine-territorialisation-and-the-scaling-2vaxuyrwp7","2018","Journal Article","Transactions of the Institute of British Geographers","Paula Satizábal
Simon Batterbury
Simon Batterbury","10.1111/TRAN.12199","https://scispace.com/pdf/fluid-geographies-marine-territorialisation-and-the-scaling-2vaxuyrwp7.pdf","The Pacific region of Colombia, like many sparsely populated places in developing countries, has been imagined as empty in social terms, and yet full in terms of natural resources and biodiversity. These imaginaries have enabled the creation of frontiers of land and sea control, where the state as well as private and illegal actors have historically dispossessed Afro-descendant and indigenous peoples. This paper contributes to the understanding of territorialisation in the oceans, where political and legal framings of the sea as an open-access public good have neglected the existence of marine social processes. It shows how Afro-descendant communities and non-state actors are required to use the language of resources, rather than socio-cultural attachment, to negotiate state marine territorialisation processes. Drawing on a case study on the Pacific coast of Colombia, we demonstrate that Afro-descendant communities hold local aquatic epistemologies, in which knowledge and the production of space are entangled in fluid and volumetric spatio-temporal dynamics. However, despite the social importance of aquatic environments, they were excluded from Afro-descendants’ collective territorial rights in the 1990s. Driven by their local aquatic epistemologies, coastal communities are reclaiming authority over the seascape through the creation of a marine protected area.We argue that they have transformed relations of authority at sea to ensure local access and control, using state institutional instruments to subvert and challenge the legal framing of the sea as an open access public good. As such, this marine protected area represents a place of resistance that ironically subjects coastal communities to disciplinary technologies of conservation.","In this paper, a case study on the Pacific coast of Colombia demonstrates that Afro-descendant communities hold local aquatic epistemologies, in which knowledge and the production of space are entangled in fluid and volumetric spatio-temporal dynamics."
"The Sea as an Institution","https://scispace.com/paper/the-sea-as-an-institution-10yliiwv","2022","Book Chapter","","","10.4324/9781003298984-4","","International relations does not treat maritime spaces as political spaces. To that literature, they are no more than a medium where relations among actors take place on the basis of patterns of cooperation and discord. This chapter proposes a theoretical framework using Onuf’s norm-based constructivism to highlight the political role of maritime spaces as institutions of international society. In that way, maritime spaces can be perceived to play a role as political zones in international relations, permitting interaction among agents to the extent that the world out there and its realities are resignified and suited to the interests and intentions operating among agents and between agents and the world itself. ","In this paper , a theoretical framework using Onuf's norm-based constructivism is proposed to highlight the political role of maritime spaces as institutions of international society, in that way, maritime spaces can be perceived to play a role as political zones in international relations."
"Maritime temporalities and capitalist development","https://scispace.com/paper/maritime-temporalities-and-capitalist-development-22hgkoif","2023","Journal Article","Geography Compass","Alejandro Colas
Liam Campling","10.1111/gec3.12715","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gec3.12715","This intervention develops arguments in our book Capitalism and the Sea on the complex temporalities attached to capitalism's intense and peculiar relationship to the global ocean. Technological innovations like the steamship or containerisation plainly transformed the pace and intensity of maritime commerce, and aspects of the global economy. We take this further to argue that the very origins and periodisation of capitalism are connected to the global ocean; as will be our futures, given the unpredictable implications of the oceans acting as the biosphere's ‘heat sink’. We consider several stylised expressions of time at sea: deep-time, logistical-time, life-time, and revolutionary time suggesting that the ocean world as a geographical space articulates these in distinctive and contradictory ways. ","The authors argue that the very origins and periodisation of capitalism are connected to the global ocean; as will be our futures, given the unpredictable implications of the oceans acting as the biosphere's heat sink."
"Regional Maritime Contexts and the Maritorium: A Latin American Perspective on Archaeological Land and Sea Integration","https://scispace.com/paper/regional-maritime-contexts-and-the-maritorium-a-latin-ulby1kf47x","2017","Journal Article","Journal of Maritime Archaeology","Jorge Manuel Herrera
Miguel Chapanoff","10.1007/S11457-017-9191-X","","In the field of maritime archaeology, the use of maritime, coastal, riverine, and lacustrine spaces by past societies has been perceived in different and changing viewpoints. These perspectives have flourished in dynamic and varying ways in many countries, and under different theoretical constructs. If in the 1970s the subject was perhaps not recognized as a central research subject by much of our community, it is now not only accepted but it has become a robust area of interest in maritime research. Two concepts in Latin America have been accepted that have had widespread application and influence, namely the regional maritime context and the maritorio. The points of contact between both are so intense that it is possible to speak about a single alternative with two possible names. In this article, their origins, applications, and theoretical influences are presented in a way that unifies these two concepts into a single approach (the maritorium), and examines how these ideas have been applied to research carried out in Mexico, Chile, and Uruguay. These applications are wide ranging, as they include the interconnected complexity between land and sea as used and inhabited by past societies. They have been applied in the study of ship traps, whole fleets, sites of maritime conflict and warfare, exploration activities, and ethnographic research. These will also be presented in light of other concepts of similar interest in the international sphere, such as the widespread concept of the Maritime Cultural Landscape, and also in view of other theoretical frameworks coming from the wider sphere of the profession, such as Landscape Archaeology and Phenomenological Archaeology.","In the field of maritime archaeology, the use of maritime, coastal, riverine, and lacustrine spaces by past societies has been perceived in different and changing viewpoints."
"The essence of marine and coastal space – an interdisciplinary perspective","https://scispace.com/paper/the-essence-of-marine-and-coastal-space-an-interdisciplinary-1v5p3lwuf5","2019","Journal Article","","Katarzyna Jerzak
Maxim D Shrayer
Karolina Krośnicka
Piotr Lorens
Jacek Zaucha
Joanna Pardus","10.7163/EU21.2019.36.2","https://scispace.com/pdf/the-essence-of-marine-and-coastal-space-an-interdisciplinary-1v5p3lwuf5.pdf","Sea space has been undergoing a profound transformation. Although it retains its inspirational function in arts, literature and philosophy, it has been gaining new anthropogenic dimensions in economics and urban planning as a source of satisfying human needs i.e. the provision of harmony, beauty, off-shore energy, and biotech substances. Therefore, in this paper marine space is analyzed from a multidimensional perspective of urban planning, economics, and literature. Maritime space has been a subject of literature from its inception. Without attempting to give an overview of the vast topic, the paper discusses the pronounced presence of sea space in the earliest Western literary sources, such as the Bible and Anglo-Saxon poetry. As a striking case study, Herman Melville’s 1851 novel Moby-Dick is analyzed with its complex, dynamic notion of maritime space. Aditionally, the importance of the shore as locus amoenus in a short story by the contemporary writer Maxim D. Shrayer is examined. This notion of locus amoenus is also present in the research related to urban planning. Maritime space attracts people to locate nearby. Development is created as a response to these demands. Both urban planning and economics underline, however, a need of sustainable development of this space. This is crucial in order to secure its positive influence on human well-being in the long run. The three disciplines also point out that maritime space remains in the process of continuous creation and re-development in course of adding new functional and axiological ties between humans and the seas and oceans. Thus, nowadays maritime space covers both sea and terrestrial gateways servicing the sea and the key constituting factor is provided by human beings (homo maritimus) through their economic, social or emotional bond to the sea.","In this article, a multidimensional perspective of urban planning, economics, and literature is analyzed from a multi-dimensional perspective of marine space from a multidisciplinary perspective of arts, literature and philosophy."
"The Sea as a Hyperobject: Moving beyond Maritime Cultural Landscapes","https://scispace.com/paper/the-sea-as-a-hyperobject-moving-beyond-maritime-cultural-47e5jzcxd8","2020","Journal Article","Journal of Eastern Mediterranean Archaeology and Heritage Studies","Campbell","10.5325/JEASMEDARCHERSTU.8.3-4.0207","","abstract:An understanding of human mobility and cultural connectivity requires an accurate conception of that which facilitates maritime movement: the sea. The theory of “maritime cultural landscapes” has sought to address these questions from a landscape approach, and it is perhaps the most influential theory in maritime archaeology over the last thirty years. However, recent developments in philosophy challenge the cognitive-landscape theory underpinning the paradigm. This article examines these philosophies, the “flat ontologies” of Speculative Realism and Object-Oriented Ontology (OOO) and argues that they can be used to understand the sea as a new type of entity—a hyperobject. In this approach, the sea is not a landscape or facilitator of human activity but an entity of vast geographical and temporal scale that possesses agency. It argues for moving beyond idealist philosophies, such as cultural landscapes, toward the realist philosophy of OOO, including understanding the sea as a hyperobject.","In this article, the authors argue that the sea is not a landscape or facilitator of human activity but an entity of vast geographical and temporal scale that possesses agency, and they argue for moving beyond idealist philosophies, such as cultural landscapes, toward the realist philosophy of OOO, including understanding the sea as a hyperobject."
"At home on the waves","https://scispace.com/paper/at-home-on-the-waves-4xx3v6vhou","2019","Book","","","10.3167/9781789201420","","Contemporary public discourses about the ocean are routinely characterized by scientific and environmentalist narratives that imagine and idealize marine spaces in which humans are absent. In contrast, this collection explores the variety of ways in which people have long made themselves at home at sea, and continue to live intimately with it. In doing so, it brings together both ethnographic and archaeological research – much of it with an explicit Ingoldian approach – on a wide range of geographical areas and historical periods. ","At Home on the Waves explores the intimate relationship between humans and the ocean, highlighting the diverse ways people have made themselves at home at sea."
"Territorialisation des espaces océaniques hauturiers. L'apport de la navigation à voile dans l'Océan Atlantique","https://scispace.com/paper/territorialisation-des-espaces-oceaniques-hauturiers-l-4zvls2jflx","2010","Dissertation","","Camille Parrain","","","Espace mythique et peuple de legendes, espace physique complexe changeant, l’ocean est soumis aux enjeux geopolitiques et a une extension progressive de l’homme a la maniere d’un front pionnier (en surface et en profondeur). La territorialisation croissante des espaces maritimes, deja prouvee sur les mers cotieres, prend un angle particulier sur le domaine hauturier du fait de son immensite et de son ephemerite. Pour analyser ce processus, nous nous sommes interesses a la navigation a voile, pratique de loisir et professionnelle, dans l’ocean Atlantique. Cette pratique offre une vision interessante du fait de la relation particuliere entretenue entre l’homme, le voilier et l’ocean et de la dualite entre tradition et technologie. La fin du XXeme et le XXIeme siecle constituent une epoque charniere ou les regards sur l’ocean risquent d’etre modifies. Elle s’inscrit de plus dans le phenomene de mobilite croissante des societes, en quete ou non de rapidite, et demontre la reticularite croissante de cet espace, egalement liee a la mondialisation. Nous tâcherons de definir la notion de territoire en haute mer et de distinguer l’existence de « merritoires ». La connaissance des routes transatlantiques permet de degager des centralites, peripheries et marges atlantiques. Elles constituent des reseaux territorialises mettant en relation differents lieux ou se revele l’identite des navigateurs. Le long de ces trajets se greffent des paysages marins « itinerants », des reperes, des discontinuites spatio-temporelles, des rites et representations degageant des disparites spatiales et une structuration de l’Ocean Atlantique.","In this article, the navigation a voile, pratique de loisir et professionnelle, dans l’ocean Atlantique, is analyzed, and a vision interessante du fait de la relation particuliere entretenue entre lhomme, le voilier et l'ocean and de la dualite entre tradition and technologie."
"White in the Deep Blue","https://scispace.com/paper/white-in-the-deep-blue-1wlembwf48","2023","Journal Article","Public Culture","Nikolas Kosmatopoulos","10.1215/08992363-10742621","","Abstract Although the imperial ship has been a key location through which to theorize colonialism and the origins of racial capitalism, little research exists on the postcolonial ship as an analytical indicator for the persistence and distinctiveness of contemporary racial capitalism. This article explores a largely uncharted territory through a critical appraisal of postwar Greek-owned shipping. Greece's dominant place in global shipping offers an illuminating and yet understudied entry point to political economies of neocolonial / racial capitalism at sea. The first part of this brief intervention invokes the Greek-owned tanker in threefold ways: as a geopolitical actor in response to the decolonization of maritime energy routes and to worldmaking at and through the sea; as a floating financial device that produces deterritorialized hierarchies of global space through processes of flagging-out and offshoring; and as a physical site where structures of racial capitalism, mainly in terms of labor, proliferate. The second part of the article discusses certain forms of community waters’ defense as a possible path toward decolonization and Indigenous efforts to “take sea back.” ","Postcolonial ship as an indicator of contemporary racial capitalism, exploring Greek-owned shipping to understand global political economies and potential pathways to decolonization."
"Drifting: Towards mobilities at sea","https://scispace.com/paper/drifting-towards-mobilities-at-sea-3105uiqffp","2015","Journal Article","Transactions of the Institute of British Geographers","Kimberley Peters","10.1111/TRAN.12074","https://scispace.com/pdf/drifting-towards-mobilities-at-sea-3105uiqffp.pdf","This paper advocates a critical analysis of drifting as a particular typology of mobility. Drifting is a commonplace term used across the social sciences and particularly within physical, urban and psycho-geographic strands of geography. However, drifting has not been unpacked within a mobilities framework as a specific trope of moving, nor has it been taken ‘to sea’ by social scientists. This is surprising given the long-standing relationship between drift, drifting and the ocean. Recent years have witnessed a ‘filling out’ and ‘deepening’ of mobilities studies in geography and the broader social sciences, wherein mobility is not taken as singular and undifferentiated, but rather can be broken down into more specific parts that constitute particular technologies, experiences, forms and conditions of moving. This study dissects drifting by investigating the intricacies of this mobile quality and the quality of mobility. In particular, the paper draws on drifting in the context of the sea in order to demonstrate the new knowledges made possible by moving examinations from city spaces (where drifting has been most readily employed as conceptual tool and method). Indeed, drawing on case studies of drifting at sea, this paper argues that a focus on this distinctive form of mobility generates new insights into the politics of what it means to move in the maritime realm, a space often neglected in studies of mobilities.","In this paper, a critical analysis of drifting as a particular typology of mobility is presented, with a focus on this distinctive form of mobility generated new insights into the politics of what it means to move in the maritime realm, a space often neglected in studies of mobilities."
"Putting Lifeworlds at Sea: Studying Meaning-Making in Marine Research","https://scispace.com/paper/putting-lifeworlds-at-sea-studying-meaning-making-in-marine-2t5x5pg0j9","2016","Journal Article","Frontiers in Marine Science","Rapti Siriwardane-de Zoysa
Anna-Katharina Hornidge
Anna-Katharina Hornidge","10.3389/FMARS.2016.00197","https://scispace.com/pdf/putting-lifeworlds-at-sea-studying-meaning-making-in-marine-2t5x5pg0j9.pdf","An individual’s ‘lifeworld’ guides perceptions, the attachment of meaning and in sum, the interpretation of reality in everyday life. Yet the lifeworld (Ger. Lebenswelt) has been an undertheorized concept within interdisciplinary marine research. Through a two-stage analysis, we critically engage with the philosophical foundations, heuristic value and the methodological versatility that the interpretivist concept of the lifeworld stands to offer, drawing from contemporary marine research. With two illustrative case studies exploring the lived realities of vastly different waterworlds in rural Uzbekistan and Sri Lanka, we further engage with the strengths and limitations of integrating a lifeworlds analysis into interdisciplinary work on localized perceptions. As a second step, we analyze the efficacy of adopting a phenomenological-lifeworlds approach in order to inductively explore diverse realities of coastal and sea-based peoples, while acknowledging the terrestrially-bound and anthropocentric genesis of the lifeworld as a concept. Therefore, in order to enliven hybrid thematic currents, conceptual debates and methodologies on ‘marine lifeworlds’ on its own terms, we propose two thematic vantage points for interdisciplinary intervention by: a) critically engaging with cognitive-material meanings and lived interpretations of 'saltwater' realities; b) tracing multiple modes of sociality and being with/in-the-world that go beyond human entanglements. In sum, we argue that while the lifeworlds concept affords spaces through which to study the complexities and ambivalences rife in surface-level perceptions, it promises the means with which to sidestep over-simplistic inferences to the vague and embattled notion of ‘culture’, while widening horizons for reflective and experimental-experiential lines of inquiry.","In this paper, a two-stage analysis of the philosophical foundations, heuristic value and methodological versatility of the interpretivist concept of the lifeworld stands to offer, drawing from contemporary marine research is presented."
"O Mar e o Marítimo nos Trópicos","https://scispace.com/paper/o-mar-e-o-maritimo-nos-tropicos-3aj10g8yms","2006","","","Eustógio Wanderley Correia Dantas","","","At the end of XXth Century, every thing about sea became a social matter. The sea and maritime images, globally linked and related to social-economical, technological and symbolic changes, makes a flow to give evidence to worldwide seaside and, in particular, to the tropical seaside. Very often, this kind of valorization is understood according to tropism notion. It indicates what bibliographycal references has been used, that of a marine dichotomy: an external or modern in ocidental references of marine qualities; and on the other hand, an internal or traditional marine qualities, considering the tropical population. The analysis of Brazilian (specifically in Fortaleza-CE) seaside valorization process alows us to get into a more relative explanation. This coastal city has an elite fascinated with modern marine activities (beach, holiday, sun, tourism). Such local elite produces the same territories and feeds the same Ocidental wishes will getting inside dominant rationality in countries weakly touched by international tourist flow. That is a sort of cultural movement able to suggest a mental change to local groups upon sea and invites us to perform a different conception of that dichotomy mentioned above","The analysis of Brazilian seaside valorization process can be found in this paper, where an analysis of Fortaleza-CE seafarers is performed to get into a more relative explanation, that is, a coastal city has an elite fascinated with modern marine activities (beach, holiday, sun, tourism)."
"Deep Routeing and the Making of ‘Maritime Motorways’: Beyond Surficial Geographies of Connection for Governing Global Shipping","https://scispace.com/paper/deep-routeing-and-the-making-of-maritime-motorways-beyond-ok5k8mi68w","2020","Journal Article","Geopolitics","Kimberley Peters","10.1080/14650045.2019.1567499","","Geography has turned to towards the seas and oceans with much attention being paid to ‘water worlds’ through socio-cultural, political and environmental lenses. Geo-economic analysis in particular, has considered the role of containerisation, the port, and global logistics flows central to the contemporary shipping industry. However, where routeing enters discussion these debates remain ‘surficial’ with a focus on the rationale of lines of connection which are mapped onto the sea (rather than into the sea, as a liquid, three-dimensional, motionful space). This paper challenges considerations of ship routeing that only skim the surface. This paper adds depth to the discussion. It is argued that ship routeing is not a purely surficial exercise of charting a voyage across seas and oceans. Routes have a geo-politics predicted at times on the water’s depth, the topography of the ocean floor and seabed and marine resources. Drawing on a variety of examples, notably the traffic routeing scheme – or ‘maritime motorway’ – governing the flows of shipping in the Dover Strait, UK, this paper brings a ‘wet ontology’ and three-dimensional analysis to ship routeing. It is contended that such a recognition and discussion of deep routeing is necessary to shed light upon the often invisible processes sea that underscore the global logistics flows vital to society and the economy.","In this paper, it is argued that ship routeing is not a purely surficial exercise of charting a voyage across seas and oceans, but a geo-politics predicted at times on the water's depth, the topography of the ocean floor and seabed and marine resources."
"Humans at Sea: Migrants, Refugees and Transnational Responses","https://scispace.com/paper/humans-at-sea-migrants-refugees-and-transnational-responses-2et4gpn2","2022","Book Chapter","","Judy Tyrer","10.4324/9781003001324-17","","Thousands of migrants undertake perilous journeys to reach a safe haven, often risking their lives in the crossing of a sea. Nevertheless, despite increasing media attention in the last years, maritime migration is not a new phenomenon. With growing transnational movements of people by sea in the last decades crossing the Atlantic, the South Pacific or the Mediterranean, receiving states have focused on the prevention of irregular maritime movements, through a securitarian approach, often focusing on the dimension of maritime security. Maritime migration management has to be framed within the multiplicity and overlapping regimes regulating the state's support to humans at sea, namely regarding safety of life, search and rescue and refugee laws. The aim of this chapter is to make a decisive contribution to the field proposing a comprehensive conceptualisation of maritime migration, moving beyond regional approaches, highlighting the dimension of human security to enlighten future perspectives and policy-making regarding maritime migration management. ","In this paper , the authors propose a comprehensive conceptualisation of maritime migration, moving beyond regional approaches, highlighting the dimension of human security to enlighten future perspectives and policy-making regarding maritime migration management."
"Future Promises for Contemporary Social and Cultural Geographies of the Seas","https://scispace.com/paper/future-promises-for-contemporary-social-and-cultural-264uj2z8ac","2010","Journal Article","Geography Compass","Kimberley Peters","10.1111/J.1749-8198.2010.00372.X","","Seventy per cent of the Earth’s surface is sea. Yet, until recently social and cultural geographers have failed to pay much attention to this aspect of the world in which we live, with the most notable contributions deriving from historical perspectives. This study examines the work characterising this area of research before outlining possible reasons for the failure of consistent and comprehensive examination of the seas and ships for social and cultural geographers who take a more contemporary focus. The sea has been typically understood as inferior to and marginal from the land and invisible in modern consciousness, yet it is nonetheless a vital space and one that is integral to the workings of the world as we currently know it. This study travels through the ways in which modern-day examinations of the maritime world are developing before outlining future promises that are surfacing for more contemporary social and cultural geographies of the sea. The study offers an overview of the relationship between social and cultural geography and the sea, contending by way of a conclusion for a greater volume of contemporary work considering maritime spaces to expand and deepen geographic understandings of the watery world.","The sea has been typically understood as inferior to and marginal from the land and invisible in modern consciousness, yet it is nonetheless a vital space and one that is integral to the workings of the world as we currently know it as mentioned in this paper."
"The symbolic space of the sea","https://scispace.com/paper/the-symbolic-space-of-the-sea-25nqldsy","2022","Book Chapter","","","10.7765/9781526155122.00008","","This chapter tackles seascape as a symbolic space. It explores the political symbolisation and the symbolic power of the sea via a twofold empirical focus. The first move examines the maritime imagining of a nation-space with the example of Estonia’s ex-president and ethnographer Lennart Meri’s historical travelogue Hõbevalge [Silver White] (1976). This imaginative reconstruction of Estonia’s ancient seafaring history and connectivities with the Baltic Sea region and beyond was a conscious exercise in linking a forgotten Baltic province to the mental map of a Nordic-Baltic region. Silver White provided a national mythology for a small nation which was denied an autonomous political present and future as part of the Soviet Union. As a second move, the chapter looks at the emerging maritime posture and posturing of NATO in the Baltic Sea region. Proceeding from Catherine Bell’s understanding of ritualisation as a culturally strategic way of acting in the world and exercising power, NATO’s maritime presence in the Nordic-Baltic space emerges as a case of ritualised performance of deterrence towards Russia. In both instances of cultivating a national mythscape via the sea and performing a multinational military alliance via exercising extended maritime deterrence, the Baltic Sea emerges as a crucial arena for creating and enacting political subjectivities and communities in world politics. ","In this paper , the authors explore the political symbolisation and symbolic power of the sea via a twofold empirical focus: maritime imagining of a nation-space with the example of Estonia's ex-president and ethnographer Lennart Meri's historical travelogue Hõbevalge [Silver White] (1976), and the emerging maritime posture and posturing of NATO in the Baltic Sea region."
"(Un)seen Seas: Technological Mediation, Oceanic Imaginaries, and Future Depths","https://scispace.com/paper/un-seen-seas-technological-mediation-oceanic-imaginaries-and-4cvt2qx0mm","2019","Journal Article","","Stephanie Ratté","10.3167/ARES.2019.100109","","Remote technologies and digitally mediated representations now serve as a central mode of interaction with hard-to-reach sea spaces and places. This article reviews the literature on varied scholarly engagements with the sea and on the oceanic application of technologies—among them geographic information systems, remotely operated vehicles, and autonomous underwater vehicles—that allow people to envision and engage with deep and distant oceanic spaces. I focus on the extension of a digital and disembodied human presence in the oceans and the persistence of frontier fictions, in which the sea figures as a site of future-oriented possibilities. Finally, I ask what the emphasis on “seeing” through technological mediation means for how we imagine vast spaces, and consider how these elements of the oceanic imaginary can be productively complicated by drawing attention to the materiality of the oceans and the scalar politics of dynamic spaces.","A review of the literature on varied scholarly engagements with the sea and on the oceanic application of technologies that allow people to envision and engage with deep and distant oceanic spaces can be found in this paper."
"When the sea does have character: post-Brexit maritime cooperation as place-consciousness","https://scispace.com/paper/when-the-sea-does-have-character-post-brexit-maritime-1r5vwlnjby","2024","Journal Article","BELGEO","Matteo Nicolini","10.4000/11xev","","The essay applies the practices of spatial production to maritime cooperation taking place across (and around) the Channel. Although its geographical features make its crossing particularly difficult, this stormy stretch of water has been a place of connection, co-operation, and separation between the UK and the Continent. This makes maritime cooperation around the Channel and its coastal areas an intriguing field of research in the aftermath of Brexit. Evidently, the Channel’s collective place-consciousness will depart from that previously produced under EU maritime cooperation schemes. A renewed collective place-consciousness for the Channel is therefore needed. ","This essay applies spatial production practices to maritime cooperation across the Channel, exploring how Brexit impacts collective place-consciousness, necessitating a renewed understanding of the region's geography and its role in UK-Continental relations."
"Liquid Entitlement: Sea, Terra, Law, Commons","https://scispace.com/paper/liquid-entitlement-sea-terra-law-commons-3tu0paydcn","2021","Journal Article","Global Society","Costas M. Constantinou
Maria Hadjimichael","10.1080/13600826.2020.1810642","","This article examines the role of international law in extending entitlement at sea and undermining the ocean commons. It suggests that entitlement through enclosure and territoriality has been a p...","In this article, the role of international law in extending entitlement at sea and undermining the ocean commons is examined, and the authors suggest that entitlement through enclosure and territoriality has been a p..."
